Target Name of Organisation,Target UEN,Target Sector,Target Classification,Neighbour 1 Name of Organisation,Neighbour 1 UEN,Neighbour 1 Sector,Neighbour 1 Classification,Neighbour 2 Name of Organisation,Neighbour 2 UEN,Neighbour 2 Sector,Neighbour 2 Classification,Neighbour 3 Name of Organisation,Neighbour 3 UEN,Neighbour 3 Sector,Neighbour 3 Classification,Neighbour 4 Name of Organisation,Neighbour 4 UEN,Neighbour 4 Sector,Neighbour 4 Classification,Neighbour 5 Name of Organisation,Neighbour 5 UEN,Neighbour 5 Sector,Neighbour 5 Classification,Neighbour 6 Name of Organisation,Neighbour 6 UEN,Neighbour 6 Sector,Neighbour 6 Classification,Neighbour 7 Name of Organisation,Neighbour 7 UEN,Neighbour 7 Sector,Neighbour 7 Classification,Neighbour 8 Name of Organisation,Neighbour 8 UEN,Neighbour 8 Sector,Neighbour 8 Classification,Neighbour 9 Name of Organisation,Neighbour 9 UEN,Neighbour 9 Sector,Neighbour 9 Classification,Neighbour 10 Name of Organisation,Neighbour 10 UEN,Neighbour 10 Sector,Neighbour 10 Classification,Neighbour 11 Name of Organisation,Neighbour 11 UEN,Neighbour 11 Sector,Neighbour 11 Classification,Neighbour 12 Name of Organisation,Neighbour 12 UEN,Neighbour 12 Sector,Neighbour 12 Classification,Neighbour 13 Name of Organisation,Neighbour 13 UEN,Neighbour 13 Sector,Neighbour 13 Classification,Neighbour 14 Name of Organisation,Neighbour 14 UEN,Neighbour 14 Sector,Neighbour 14 Classification,Neighbour 15 Name of Organisation,Neighbour 15 UEN,Neighbour 15 Sector,Neighbour 15 Classification
NGEE ANN CULTURAL CENTRE LIMITED,199805169D,Arts and Heritage,Historical & Cultural Conservation,SINGAPORE CLAN FOUNDATION,198601162H,Arts and Heritage,"Historical & Cultural Conservation,Training & Education","Singapore Arts Federation, The",S67SS0028B,Arts and Heritage,Others,SINGAPORE SYMPHONIA COMPANY LIMITED,197801125M,Arts and Heritage,Music & Orchestras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Singapore Indian Fine Arts Society, The",S62SS0048J,Arts and Heritage,"Music & Orchestras,Professional, Contemporary & Ethnic Dance,Traditional Ethnic Performing Arts,Training & Education,Visual Arts",SCULPTURE SQUARE LIMITED,199604522K,Arts and Heritage,Visual Arts,CHECKPOINT THEATRE LIMITED,200209251R,Arts and Heritage,Theatre & Dramatic Arts,SCAB LIMITED,200207271H,Arts and Heritage,Visual Arts,SINGAPORE ARTS SCHOOL LTD.,200500775C,Arts and Heritage,Training & Education,SINGAPORE SENIOR CITIZEN CALLIGRAPHY UNIVERSITY CENTRE LIMITED,200719102E,Arts and Heritage,Others,ORCHESTRA OF THE MUSIC MAKERS LTD.,201002361G,Arts and Heritage,Music & Orchestras,KUO PAO KUN FOUNDATION LIMITED,200722797E,Arts and Heritage,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Book Development Council of Singapore, The",S68SS0042H,Arts and Heritage,"Literary Arts,Training & Education",SINGAPORE SYMPHONIA COMPANY LIMITED,197801125M,Arts and Heritage,Music & Orchestras,"Singapore Arts Federation, The",S67SS0028B,Arts and Heritage,Others,SINGAPORE CLAN FOUNDATION,198601162H,Arts and Heritage,"Historical & Cultural Conservation,Training & Education",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINGAPORE CLAN FOUNDATION,198601162H,Arts and Heritage,"Historical & Cultural Conservation,Training & Education",SINGAPORE SYMPHONIA COMPANY LIMITED,197801125M,Arts and Heritage,Music & Orchestras,SINGAPORE CLAN FOUNDATION,198601162H,Arts and Heritage,"Historical & Cultural Conservation,Training & Education",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Design Society, The",T09SS0071G,Arts and Heritage,Others,Tampines Arts Troupe,S91SS0060L,Arts and Heritage,Traditional Ethnic Performing Arts,SINGAPORE CHINESE ORCHESTRA COMPANY LIMITED,199603271D,Arts and Heritage,Music & Orchestras,THE NECESSARY STAGE LTD,199202435N,Arts and Heritage,Theatre & Dramatic Arts,SINGAPORE REPERTORY THEATRE LTD,199301614N,Arts and Heritage,Theatre & Dramatic Arts,WILD RICE LTD,200100891D,Arts and Heritage,Theatre & Dramatic Arts,ODYSSEY DANCE THEATRE LTD,200107383N,Arts and Heritage,"Professional, Contemporary & Ethnic Dance",THE LIBRARY FUND,T03CC1744D,Arts and Heritage,Historical & Cultural Conservation,TFA LALITA KALA COMPANY,200410925C,Arts and Heritage,Traditional Ethnic Performing Arts,LASALLE COLLEGE OF THE ARTS LIMITED,199202950W,Arts and Heritage,Training & Education,THE FINGER PLAYERS LTD,199905145W,Arts and Heritage,Theatre & Dramatic Arts,,,,,,,,,,,,,,,,,,,,
THE ESPLANADE CO LTD,199205206G,Arts and Heritage,"Music & Orchestras,Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education,Visual Arts",NATIONAL LIBRARY BOARD,T08GB0037J,Arts and Heritage,Historical & Cultural Conservation,NATIONAL HERITAGE BOARD,T08GB0036B,Arts and Heritage,Historical & Cultural Conservation,NANYANG FINE ARTS FOUNDATION LIMITED,198904643G,Arts and Heritage,Training & Education,SINGAPORE SYMPHONIA COMPANY LIMITED,197801125M,Arts and Heritage,Music & Orchestras,THE ESPLANADE CO LTD,199205206G,Arts and Heritage,"Music & Orchestras,Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education,Visual Arts",LASALLE COLLEGE OF THE ARTS LIMITED,199202950W,Arts and Heritage,Training & Education,SINGAPORE CLAN FOUNDATION,198601162H,Arts and Heritage,"Historical & Cultural Conservation,Training & Education",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.H.E DANCE COMPANY LTD.,200818017E,Arts and Heritage,"Professional, Contemporary & Ethnic Dance",ARTS HOUSE LTD.,200210647W,Arts and Heritage,Others,T'ANG QUARTET LIMITED,200102183D,Arts and Heritage,Music & Orchestras,THE ESPLANADE CO LTD,199205206G,Arts and Heritage,"Music & Orchestras,Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education,Visual Arts",NANYANG ACADEMY OF FINE ARTS,201006523M,Arts and Heritage,Training & Education,NATIONAL GALLERY SINGAPORE,200900977G,Arts and Heritage,"Historical & Cultural Conservation,Visual Arts",WILD RICE LTD,200100891D,Arts and Heritage,Theatre & Dramatic Arts,SINGAPORE REPERTORY THEATRE LTD,199301614N,Arts and Heritage,Theatre & Dramatic Arts,ODYSSEY DANCE THEATRE LTD,200107383N,Arts and Heritage,"Professional, Contemporary & Ethnic Dance",THE LIBRARY FUND,T03CC1744D,Arts and Heritage,Historical & Cultural Conservation,Tampines Arts Troupe,S91SS0060L,Arts and Heritage,Traditional Ethnic Performing Arts,TFA LALITA KALA COMPANY,200410925C,Arts and Heritage,Traditional Ethnic Performing Arts,THE FINGER PLAYERS LTD,199905145W,Arts and Heritage,Theatre & Dramatic Arts,CENTRE 42 LIMITED,201403108H,Arts and Heritage,"Theatre & Dramatic Arts,Training & Education",NANYANG FINE ARTS FOUNDATION LIMITED,198904643G,Arts and Heritage,Training & Education,,,,
CAKE THEATRICAL PRODUCTIONS LTD.,200513050G,Arts and Heritage,Theatre & Dramatic Arts,NANYANG FINE ARTS FOUNDATION LIMITED,198904643G,Arts and Heritage,Training & Education,THE ESPLANADE CO LTD,199205206G,Arts and Heritage,"Music & Orchestras,Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education,Visual Arts",SINGAPORE SYMPHONIA COMPANY LIMITED,197801125M,Arts and Heritage,Music & Orchestras,THEATREWORKS (SINGAPORE) LTD.,199001149D,Arts and Heritage,Theatre & Dramatic Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tampines Arts Troupe,S91SS0060L,Arts and Heritage,Traditional Ethnic Performing Arts,SINGAPORE SYMPHONIA COMPANY LIMITED,197801125M,Arts and Heritage,Music & Orchestras,SINGAPORE CLAN FOUNDATION,198601162H,Arts and Heritage,"Historical & Cultural Conservation,Training & Education",NANYANG FINE ARTS FOUNDATION LIMITED,198904643G,Arts and Heritage,Training & Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPOT ART LIMITED,201404060Z,Arts and Heritage,Visual Arts,My Community,T10SS0125C,Arts and Heritage,Historical & Cultural Conservation,THE SELECT CENTRE LTD.,201527668D,Arts and Heritage,"Literary Arts,Training & Education",KUO PAO KUN FOUNDATION LIMITED,200722797E,Arts and Heritage,Others,ORCHESTRA OF THE MUSIC MAKERS LTD.,201002361G,Arts and Heritage,Music & Orchestras,SINGAPORE SENIOR CITIZEN CALLIGRAPHY UNIVERSITY CENTRE LIMITED,200719102E,Arts and Heritage,Others,SINGAPORE ARTS SCHOOL LTD.,200500775C,Arts and Heritage,Training & Education,SCAB LIMITED,200207271H,Arts and Heritage,Visual Arts,CHECKPOINT THEATRE LIMITED,200209251R,Arts and Heritage,Theatre & Dramatic Arts,SCULPTURE SQUARE LIMITED,199604522K,Arts and Heritage,Visual Arts,,,,,,,,,,,,,,,,,,,,,,,,
